system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,21.7781,7.4312,0,0,0,1214.6743,0,2020-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,37.6415,6.6939,0,0,0,0.2596,0,2020-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,29.1414,9.1198,0,0,0.7593,0.0180,0,2020-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0091,17.4465,12.0400,0.0271,0,2.2396,0,0,2020-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0089,43.0817,15.5399,0.1958,0,3.6686,0,0,2020-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,14.0210,12.1692,0.0359,0,1.9486,0.0178,0,2020-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0179,28.2750,8.7527,0.1429,0,3.0572,0.0181,0,2020-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.1612,15.3826,8.4287,0.1251,0,2.1293,0.0724,0,2020-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6629,12.0874,15.4122,0.6513,0,2.0953,0.3852,0,2020-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.7158,8.4650,27.1526,1.5534,0,1.4450,0.3140,0.0089,2020-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.4565,5.2149,24.1522,1.0182,0,1.5415,0.9984,0,2020-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.4563,10.5355,16.5290,0.7960,0,2.6372,0.3948,0.0356,2020-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.2774,7.7209,12.5451,0.5012,0,2.9763,0.4057,0.0182,2021-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.1432,11.6031,20.5541,0.4913,0,3.7550,0.5055,0.1361,2021-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.1163,23.5192,20.6575,0.5177,0,5.2675,0.1613,0.1446,2021-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.0268,26.6482,30.7990,0.6423,0,6.9937,0.1889,0.0269,2021-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.1432,36.2980,32.7855,0.7765,0,9.2300,0.0272,0,2021-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.0447,31.1288,57.5620,0.7679,0,8.8321,0.0272,0.0091,2021-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,17.5750,73.1528,1.0011,0,3.3902,0.3500,0.0089,2021-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,17.7612,37.8473,0.8241,0,3.4973,0.3236,0.0182,2021-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.0894,12.2495,55.1947,1.8818,0,3.0863,0.8455,0.0812,2021-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.1426,13.8706,35.5763,1.1622,0,3.6475,0.7060,0.0356,2021-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.3287,6.3130,77.5645,3.6313,0,1.9450,1.0223,0.1252,2021-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.3909,8.0550,24.0425,0.9211,0,2.3153,0.5190,0.2052,2021-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1.0484,5.4632,22.4981,1.1790,0,2.2171,0.5737,0.1790,2022-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.2399,7.4512,43.2606,2.6311,0,3.6221,0.6613,0.1444,2022-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0089,6.1784,23.8211,1.3571,0,5.4106,0.5396,0.0991,2022-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0178,13.9716,34.8232,1.3663,0,6.9908,0.3785,0.2072,2022-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,20.7781,52.5232,2.4951,0,39.5471,0.1082,0.2783,2022-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,8.6702,62.5274,2.5026,0,6.6744,0.0268,0.6265,2022-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,5.2414,309.5333,10.7979,0,3.5031,0.0447,0.3940,2022-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.0445,2.5715,846.6245,15.8880,0,1.2666,0.9734,0.2956,2022-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.5787,0.9384,1431.3707,24.4289,0,0.8705,14.5273,0.2866,2022-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1.5983,1.7957,1442.6779,22.1815,0,1.5006,5.2463,1.2413,2022-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.0178,0.8019,495.3791,7.9277,0,1.1530,2.1105,2.3813,2022-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.8912,92.2119,1.3400,0,2.1843,1.2381,1.1976,2022-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.8471,45.6599,1.1842,0,1.5814,0.9300,1.0444,2023-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.6859,40.3195,1.1380,0,2.0594,0.2947,0.9452,2023-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.8485,37.4803,1.1843,0,3.2131,0.1619,0.1779,2023-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.6129,19.2113,0.6629,0,6.0927,0,0.3893,2023-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,1.1754,19.8336,1.1014,0,21.3883,0.0362,0.3116,2023-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0.5782,12.8107,0.7976,0,19.9913,0.1605,0.4902,2023-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.2981,27.6468,2.2124,0,14.3176,0.1339,1.6396,2023-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,0.3075,69.6638,4.2967,0,16.5281,0.8622,4.4010,2023-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.0089,0.4795,61.0069,3.7571,0,13.6927,1.0339,3.3988,2023-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,0.6061,7.8483,1.5239,0,13.4047,0.6692,2.3517,2023-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,0.9624,6.9316,1.8415,0,12.8504,1.6893,6.3079,2023-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.0089,1.2150,3.2347,1.4191,0,13.6050,0.1518,4.9672,2023-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,0.8971,2.5735,1.8277,0,12.7522,0.0631,4.3250,2024-01-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,1.2655,3.4362,4.0899,0,9.9322,0.0454,2.0473,2024-02-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,1.3560,3.5280,5.6522,0,17.6117,0.1179,0.9373,2024-03-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.0268,0.5774,3.2277,3.8118,0,19.4914,0.9060,3.6606,2024-04-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.2612,7.9291,8.9283,0,10.2380,0.3349,5.1274,2024-05-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,0.1977,4.9449,8.8916,0,12.6572,0.0905,3.3172,2024-06-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,0.0448,6.2287,15.6728,0,5.5549,0.2157,3.3347,2024-07-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,0.0539,5.8459,9.2377,0,2.3909,0.6904,3.1474,2024-08-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,1.7450,0.0809,3.4080,11.6708,0,4.3476,1.2352,4.3477,2024-09-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1.5187,0.0268,4.8242,8.8545,0,4.4732,1.6222,4.9657,2024-10-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.5652,0.0626,4.2003,5.4696,0,3.0881,2.0934,2.7078,2024-11-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0,0,0,0,0,678.2163,0,2024-12-01,FJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
