system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,0.6100,0.1199,0,0,0,10.5854,0,2020-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,1.0337,0.1015,0,0,0,0.3320,0,2020-02-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.4155,0.1569,0,0,0.0369,0.0185,0,2020-03-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.3045,0.3782,0.0092,0,0.0277,0,0,2020-04-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.4614,0.2676,0.0092,0,0.0554,0.0092,0,2020-05-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.6366,0.3782,0,0,0.0554,0,0,2020-06-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.4797,0.5995,0.0277,0,0.0645,0,0,2020-07-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,1.1712,0.0462,0,0,0.1569,0,0,2020-08-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.9868,0.0277,0,0,0.2676,0,0,2020-09-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.6640,0.0831,0,0,0.3044,0,0,2020-10-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,1.4660,0.0922,0,0,0.2766,0.0092,0,2020-11-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.6180,0.1752,0,0,0.1199,0,0,2020-12-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.5073,0.2490,0.0092,0,0.1291,0,0,2021-01-01,GDGX,"{""type"":""MultiPoint"",""coordinates"":[]}"
