system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.0166,34.6095,7.0471,0,0,0,356.2195,0,2020-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,29.6885,9.6307,0,0,0,0.2819,0,2020-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.0083,52.2527,24.8482,0,0,0.7901,0.6305,0,2020-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0084,44.3111,30.1028,0.0914,0,0.7975,0.1332,0,2020-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0167,68.9443,32.1144,0.0417,0,2.3081,0.6666,0.0249,2020-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9352,158.8419,5.8079,0.0166,0,15.7822,0.2987,0.0415,2020-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0591,223.1391,5.9673,0.0498,0,52.1958,0.0668,0.0747,2020-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.1260,185.0790,6.9225,0.0248,0,11.6576,0.1665,0,2020-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0252,111.5272,12.1614,1.3200,0,5.3905,4.4444,0.0083,2020-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.0084,51.8778,22.7553,1.9479,0,1.9013,1.1807,0.0168,2020-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0758,42.0975,35.6598,4.0974,0,1.0541,0.9693,0.0421,2020-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0084,24.0114,39.5034,2.5607,0,0.7109,0.3659,0.0251,2020-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0169,27.1688,36.0146,1.5247,0,1.4319,0.6503,0,2021-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0168,42.0680,25.2316,0.9319,0,5.7918,1.1494,0.1173,2021-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,36.9809,21.5887,0.4087,0,9.7502,18.4982,2.4384,2021-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,93.8750,15.4515,0.4749,0,28.4090,3.9069,0.8733,2021-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,169.8255,22.1435,0.3753,0,24.1515,1.2347,0.3187,2021-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,312.5199,18.6093,0.4357,0,29.6936,0.3332,0.2000,2021-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,381.2834,28.1643,1.0693,0,34.5885,1.0832,0.1164,2021-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.0251,136.0982,26.0173,1.0847,0,19.5440,0.1418,0.0916,2021-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.5709,53.8204,47.5815,4.2204,0,5.7810,0.8310,0.1170,2021-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.2184,39.0997,33.2144,2.1951,0,4.8697,5.2707,0.4127,2021-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.1768,22.9479,62.8114,5.2030,0,3.3536,7.4888,0.1597,2021-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.1683,16.9062,49.0244,2.2254,0,3.6018,3.2103,0.1512,2021-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.3286,28.1986,20.3809,1.1244,0,13.9759,0.1086,0.0421,2022-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0505,15.6625,20.7972,1.0924,0,7.2119,0.3382,0.0752,2022-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,20.7839,17.0934,1.0509,0,15.4300,0.1816,0.1006,2022-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,51.4219,16.7317,1.0027,0,39.5878,0.0250,0.0502,2022-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,132.5430,21.3250,1.0522,0,23.4306,0.1085,0.3692,2022-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,163.1608,36.1025,2.6101,0,20.4180,0.4279,0.4610,2022-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.0917,89.6237,33.0335,3.6071,0,12.7536,1.0677,2.7437,2022-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.5845,38.7925,53.9244,3.8202,0,7.3227,1.3852,1.1347,2022-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,4.2597,79.8760,38.1311,3.2112,0,19.9261,1.5794,0.9649,2022-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3.0642,15.6257,55.0830,4.9780,0,5.9598,0.8915,0.7132,2022-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1.5094,24.9242,71.2827,5.6576,0,7.6037,0.6625,0.5027,2022-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.5034,14.3834,77.1504,4.2982,0,4.3140,0.5116,0.4259,2022-12-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.0084,10.6401,180.3322,6.4658,0,4.1537,0.6997,0.5835,2023-01-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.0419,12.8389,224.0508,7.2020,0,4.2582,0.8918,0.3922,2023-02-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,21.3424,115.8164,3.9534,0,13.3394,2.1965,1.1113,2023-03-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,32.4029,76.7804,3.1585,0,36.9748,4.2212,1.9246,2023-04-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,39.1284,94.3076,6.7454,0,31.5958,2.3154,1.8073,2023-05-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,78.3208,163.2492,14.4395,0,25.3900,2.4279,8.0693,2023-06-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.0505,13.4584,522.0709,26.9860,0,10.1029,1.9680,3.1957,2023-07-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.1009,19.8151,772.7344,25.4899,0,7.7115,6.7160,3.0844,2023-08-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,1.3993,8.1133,1224.3905,47.2740,0,15.9356,143.7790,41.8820,2023-09-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,3.2586,2.5500,2485.3815,66.3374,0,16.4954,537.8760,121.0170,2023-10-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,7.7974,1.8216,916.1758,35.6967,0,7.9843,1325.2086,184.3888,2023-11-01,JS,"{""type"":""MultiPoint"",""coordinates"":[]}"
