system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,22.6184,15.1276,0,0,0,542.2862,0,2020-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,40.4110,14.9054,0,0,0,3.0620,0,2020-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,27.9119,21.8118,0,0,1.5197,1.1433,0.1112,2020-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,52.7119,18.9272,0.0874,0,1.0328,0.1985,0,2020-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,116.3233,9.4977,0,0,6.2499,0.0159,0,2020-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,387.3337,2.6602,0.0318,0,28.6498,0,0,2020-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,519.2210,3.1979,0.0316,0,27.1233,0,0,2020-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,145.3992,3.9883,0.1344,0,3.1885,0.0079,0,2020-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,31.0185,13.3675,0.7506,0,0.6581,0.0160,0,2020-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,17.4096,48.3336,2.7168,0,0.4922,0.0634,0,2020-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,12.1798,114.6479,5.0462,0,0.6981,0.0556,0,2020-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,11.1149,55.9660,2.6252,0,1.2603,0.0635,0,2020-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,12.3763,40.9454,1.9842,0,2.1667,0.0718,0.0238,2021-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,6.6088,53.0518,2.1587,0,2.3657,0,0.0079,2021-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,6.1981,19.9735,0.5870,0,2.5270,0.0079,0.0238,2021-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,22.0063,9.1238,0.4212,0,53.2070,0,0.0159,2021-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,93.3470,7.8158,0.2450,0,137.4286,0,0.0316,2021-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,156.0707,17.2468,0.6244,0,52.4652,0,0.0158,2021-06-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,65.4937,37.8763,2.1340,0,17.4468,0.0710,0.0713,2021-07-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,48.6581,158.8855,10.7411,0,6.5735,0.9623,0.1420,2021-08-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.1424,9.5982,1576.3825,165.3852,0,1.2260,5.5794,0.0947,2021-09-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.0476,3.4314,657.2757,27.1378,0,0.5539,4.0159,0.1419,2021-10-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,1.6416,526.4389,12.3408,0,0.7671,7.9622,0.6253,2021-11-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.8258,775.4227,11.4958,0,2.5982,11.7216,0.4739,2021-12-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,1.3773,107.3655,1.9860,0,5.6654,2.6754,0.5215,2022-01-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0315,0.8713,73.1603,0.8867,0,19.6973,2.0367,2.3466,2022-02-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,1.9788,58.2671,1.7316,0,50.3229,2.3375,15.8752,2022-03-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0237,8.2272,65.3730,0.6269,0,212.4155,2.2897,22.5842,2022-04-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,13.3111,83.0529,3.8782,0,231.8968,1.8556,43.9149,2022-05-01,SD,"{""type"":""MultiPoint"",""coordinates"":[]}"
