system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.0679,30.1149,7.8080,0,0,0,63.3407,0,2020-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,54.2397,4.0004,0,0,0,0.0426,0,2020-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,142.6049,11.3032,0,0,1.2547,0.0425,0,2020-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,140.2579,8.2690,0.0085,0,0.4520,0,0,2020-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,100.4995,12.2295,0.0170,0,5.5343,0,0,2020-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0086,268.7458,21.8627,0,0,10.0194,0.0085,0,2020-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,229.2104,2.9060,0.0340,0,6.2410,0.1189,0,2020-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0085,24.9818,3.1223,0.0170,0,0.4779,0.4162,0.0085,2020-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0170,12.7457,20.9538,0.4613,0,0.3073,1.2230,0,2020-09-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.0425,5.5081,20.6962,0.4522,0,0.1451,2.3867,0,2020-10-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0255,2.2883,51.8520,1.6469,0,0.1365,1.5879,0,2020-11-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0085,1.1864,31.2490,0.9552,0,0.0596,0.7982,0.0425,2020-12-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0085,3.6205,10.5397,0.1873,0,0.8281,0.2463,0,2021-01-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0170,5.6271,3.7210,0.0256,0,7.5485,0.2463,0.0425,2021-02-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,19.3005,1.7698,0.0510,0,32.8401,0,0.0170,2021-03-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.0170,60.5812,1.1659,0.0085,0,61.6811,0,0.0170,2021-04-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,154.7713,2.0122,0.1279,0,25.5279,0.0085,0.0085,2021-05-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,89.5788,1.7555,0.0256,0,10.3536,0.0085,0,2021-06-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,68.6529,5.9012,0.1451,0,13.5270,0.0255,0,2021-07-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.0426,28.2669,11.5685,0.3492,0,1.5639,0.0680,0.1019,2021-08-01,SH,"{""type"":""MultiPoint"",""coordinates"":[]}"
