system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0,0.4431,1.2220,0,0,0,21.5790,0,2020-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,5.5947,2.0376,0,0,0,0.2795,0,2020-02-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,1.3603,0.6210,0,0,0.4358,0,0,2020-03-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,1.8891,1.2891,0.0466,0,0.0466,0,0,2020-04-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,3.9208,1.0709,0,0,0.6392,0,0,2020-05-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,5.0537,0.3425,0.0545,0,0.6854,0,0,2020-06-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,13.4828,0.3894,0.0078,0,3.1570,0,0,2020-07-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,20.4787,0.4206,0.0312,0,0.7708,0,0,2020-08-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,4.4536,2.8515,0.0779,0,0.0233,0.0233,0,2020-09-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,2.1530,4.4770,0.2177,0,0.0155,0,0,2020-10-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,1.0897,6.4694,0.2950,0,0.0078,0,0,2020-11-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.8482,5.7312,0.2879,0,0.1246,0,0,2020-12-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.3337,3.2315,0.1246,0,0.1010,0,0,2021-01-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.2715,3.7769,0.1013,0,0.1556,0,0,2021-02-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.3106,2.0716,0.0546,0,0.6376,0,0.0078,2021-03-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,1.4062,1.4721,0.0233,0,1.5564,0.0234,0,2021-04-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,5.5576,1.1766,0.0468,0,4.0783,0.0312,0,2021-05-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,16.9533,0.5921,0.0156,0,5.7275,0,0,2021-06-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,13.2517,0.3424,0.0078,0,3.0523,0,0,2021-07-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.0232,51.4609,0.2333,0.0155,0,11.4931,0,0,2021-08-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.0387,14.6443,0.3032,0.0155,0,1.9641,0,0.0078,2021-09-01,TJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
