system:index,Herbicide control,Invasion,Mowing 1st,Mowing 2nd,No change,Recurring,WL_fast,Waterlogging,date,region,.geo
0,0.2863,54.1584,22.2559,0,0,0,923.1195,0,2020-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,122.3242,15.0567,0,0,0,28.2757,0,2020-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,216.3912,24.0383,0,0,6.5134,0.3664,0.0087,2020-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0946,163.8569,25.6745,0.4622,0,4.0253,0.2276,0.0088,2020-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0688,310.4349,25.7642,0.3064,0,7.8393,0.1919,0.0174,2020-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9743,327.1490,31.6455,0.1311,0,25.1559,0.4363,0,2020-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0787,161.5797,42.6631,0.5591,0,9.4996,4.3417,0.0350,2020-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5534,75.8551,84.3311,1.5777,0,5.1971,21.4083,0.2354,2020-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2714,57.5573,54.8105,1.2024,0,5.2407,34.4601,0.6189,2020-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.1139,25.1250,50.7318,1.2723,0,3.3694,21.5400,0.8535,2020-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0523,19.2134,75.3394,3.5959,0,3.0682,16.9366,0.7228,2020-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0523,18.5158,52.4859,1.9183,0,4.9275,3.2684,0.4002,2020-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,22.9815,30.0710,0.9945,0,8.7536,4.1739,0.4620,2021-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.1480,35.6078,15.6782,0.5229,0,18.1339,1.6428,0.5332,2021-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.2524,171.1542,16.2421,0.5328,0,64.9760,0.7082,0.3669,2021-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.0609,213.4451,13.3045,0.6544,0,66.0178,0.7397,0.1572,2021-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0870,335.9797,16.7788,1.2211,0,64.6651,0.3038,0.2095,2021-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.1306,185.8915,18.9662,0.8279,0,41.2119,0.9347,0.2170,2021-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.8296,159.0263,26.8850,1.1685,0,36.3258,2.7074,0.2081,2021-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.4570,88.7223,32.2061,1.5697,0,23.4461,4.7487,0.1396,2021-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.4079,106.6920,33.6994,1.5690,0,23.6512,2.3944,0.1134,2021-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.2179,62.3447,28.1893,1.7734,0,10.1560,2.4203,0.3316,2021-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.3397,45.0784,37.1511,3.1120,0,6.1175,3.0215,0.8257,2021-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.2791,41.4022,35.7559,3.3964,0,6.1132,1.3511,0.4270,2021-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0087,35.4864,17.9422,1.6985,0,8.0831,0.9066,0.6725,2022-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0087,41.1400,25.3895,1.5361,0,10.4988,0.7327,0.3482,2022-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0175,40.6622,23.1464,2.5234,0,15.1295,1.1497,0.3748,2022-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0436,117.8853,15.1767,1.3446,0,41.2796,1.6468,0.2269,2022-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,246.5807,13.2632,1.3877,0,65.0786,0.3746,0.3837,2022-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.0174,54.7347,24.9553,2.4421,0,12.3013,0.6810,0.4452,2022-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.0519,59.0025,36.2037,3.6938,0,15.3425,1.0596,0.5860,2022-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.4191,32.8437,66.5741,5.7524,0,11.1205,2.3910,0.6391,2022-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1.0319,18.2661,119.0983,10.1736,0,7.0535,5.5404,0.6132,2022-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,5.8500,12.9439,189.3094,13.0026,0,4.5450,7.9657,0.8472,2022-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1.8234,22.9411,48.5714,3.2127,0,7.4685,4.4631,1.1102,2022-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.3660,7.2030,77.9414,4.4335,0,3.8712,6.0241,2.6951,2022-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.0262,7.4311,98.9147,6.2439,0,4.1996,4.9535,6.3270,2023-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.0174,11.9209,88.2191,4.5078,0,8.2732,5.2840,3.6899,2023-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.0174,15.2531,72.5354,4.8440,0,12.8527,5.5406,1.1989,2023-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,29.8856,73.2365,4.7022,0,22.1063,2.7111,1.0650,2023-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,13.3831,144.2657,9.8816,0,10.6696,3.2932,3.5722,2023-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.0087,13.5476,289.7559,17.2634,0,12.0165,7.4367,3.3461,2023-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.7784,12.3074,2327.4607,98.2479,0,14.5388,4.6668,6.1347,2023-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,40.9443,5.0266,3937.7149,127.7865,0,11.9099,27.3945,11.0187,2023-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,29.6393,5.9974,2105.8853,90.8833,0,13.6774,95.2850,11.1328,2023-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,3.9518,10.8029,400.8066,23.0225,0,18.1592,43.4964,6.5015,2023-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,3.5616,2.0498,326.1782,17.2423,0,18.0833,44.2121,23.4056,2023-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,3.1586,1.2569,351.1353,20.5081,0,17.7940,33.7632,121.3764,2023-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1.0483,1.4751,88.1786,9.7839,0,62.2955,21.8336,431.8162,2024-01-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.9757,1.6364,90.1569,7.7120,0,71.0565,3.3814,264.9242,2024-02-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1.3009,3.6657,72.4976,10.7447,0,109.9757,1.1717,44.5678,2024-03-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.4016,13.1556,150.9002,28.2620,0,293.1065,0.7034,25.3501,2024-04-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1.0619,7.5830,471.7915,119.3000,0,136.3244,2.6537,51.2774,2024-05-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.6846,3.5605,290.8494,48.8572,0,53.4780,1.9322,60.9709,2024-06-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,1.1136,2.3390,198.1550,45.7221,0,20.7651,11.7995,84.6154,2024-07-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.8642,0.5580,309.6699,105.5270,0,7.9071,55.7864,74.9304,2024-08-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,92.1570,0.5420,175.2370,139.4695,0,5.6260,80.5592,72.6037,2024-09-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,39.9655,0.2271,209.9528,132.1762,0,7.0691,34.9237,77.7155,2024-10-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,12.5991,0.2875,79.7114,12.3925,0,8.4123,9.2552,29.2155,2024-11-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0,0,0,0,0,2448.3738,0,2024-12-01,ZJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
